"year","lgID","tmID","franchID","confID","divID","rank","playoff","seeded","firstRound","semis","finals","name","o_fgm","o_fga","o_ftm","o_fta","o_3pm","o_3pa","o_oreb","o_dreb","o_reb","o_asts","o_pf","o_stl","o_to","o_blk","o_pts","d_fgm","d_fga","d_ftm","d_fta","d_3pm","d_3pa","d_oreb","d_dreb","d_reb","d_asts","d_pf","d_stl","d_to","d_blk","d_pts","tmORB","tmDRB","tmTRB","opptmORB","opptmDRB","opptmTRB","won","lost","GP","homeW","homeL","awayW","awayL","confW","confL","min","attend","arena"
"2008","WNBA","CHI","CHI","EA","","5","N","0","","","","Chicago Sky","899","2100","564","812","110","341","357","770","1127","548","639","269","525","149","2472","917","2203","506","655","170","508","366","794","1160","531","681","255","522","124","2510","0","0","0","0","0","0","12","22","34","8","9","4","13","10","10","6875","62146","UIC Pavilion"
"2009","WNBA","CHI","CHI","EA","","5","N","0","","","","Chicago Sky","930","2136","527","693","186","471","307","776","1083","532","605","249","532","138","2573","1004","2269","479","613","206","593","359","797","1156","610","636","273","489","121","2693","0","0","0","0","0","0","16","18","34","12","5","4","13","10","12","6825","66852","UIC Pavilion"
"2010","WNBA","CHI","CHI","EA","","6","N","0","","","","Chicago Sky","942","2158","528","709","174","510","310","767","1077","581","599","284","497","160","2586","978","2202","448","598","207","549","342","793","1135","622","640","257","535","120","2611","0","0","0","0","0","0","14","20","34","7","10","7","10","7","15","6875","72986","Allstate Arena"
"2011","WNBA","CHI","CHI","EA","","5","N","0","","","","Chicago Sky ","943","2153","475","616","163","448","310","838","1148","567","618","269","599","185","2524","936","2240","518","679","166","492","331","776","1107","566","590","313","501","159","2556","0","0","0","0","0","0","14","20","34","10","7","4","13","10","12","6850","94116","Allstate Arena"
"2012","WNBA","CHI","CHI","EA","","5","N","0","","","","Chicago Sky ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","20","34","7","10","7","10","8","14","0","94746","Allstate Arena"
"1997","WNBA","CLE","CLE","EA","","4","N","0","","","","Cleveland Rockers","725","1633","450","623","65","177","267","624","891","456","514","256","526","86","1965","709","1715","375","533","122","356","306","563","869","464","599","303","494","96","1915","0","0","0","0","0","0","15","13","28","8","6","7","7","5","7","5675","111600","Quicken Loans Arena"
"1998","WNBA","CLE","CLE","EA","","1","Y","2","","L","","Cleveland Rockers","804","1719","483","631","106","279","227","649","876","575","600","270","528","99","2197","776","1835","430","625","128","395","327","596","923","523","620","309","546","101","2110","0","0","0","0","0","0","20","10","30","11","4","9","6","12","4","6075","155253","Quicken Loans Arena"
"1999","WNBA","CLE","CLE","EA","","6","N","0","","","","Cleveland Rockers","766","1852","394","545","88","309","289","688","977","489","627","235","547","116","2014","823","1939","434","616","137","445","335","672","1007","536","608","314","477","113","2217","0","0","0","0","0","0","7","25","32","5","11","2","14","5","15","6400","149595","Quicken Loans Arena"
"2000","WNBA","CLE","CLE","EA","","2","Y","0","W","L","","Cleveland Rockers","809","1828","426","570","141","407","331","603","934","539","647","259","538","91","2185","774","1761","455","583","119","368","277","596","873","540","693","305","552","95","2122","0","0","0","0","0","0","17","15","32","13","3","4","12","13","8","6500","137532","Quicken Loans Arena"
"2001","WNBA","CLE","CLE","EA","","1","Y","0","L","","","Cleveland Rockers","763","1770","372","505","106","335","297","662","959","503","532","267","444","83","2004","664","1745","328","444","132","417","297","594","891","434","597","225","496","127","1788","0","0","0","0","0","0","22","10","32","14","2","8","8","15","6","6425","147373","Quicken Loans Arena"
"2002","WNBA","CLE","CLE","EA","","7","N","0","","","","Cleveland Rockers","760","1820","430","553","121","374","295","674","969","480","567","221","451","83","2071","797","1834","397","521","149","441","278","640","918","530","613","242","428","109","2140","0","0","0","0","0","0","10","22","32","4","12","6","10","7","14","6550","149084","Quicken Loans Arena"
"2003","WNBA","CLE","CLE","EA","","4","Y","0","L","","","Cleveland Rockers","815","1975","464","643","135","425","349","720","1069","517","639","226","466","86","2229","809","1927","465","607","127","355","300","704","1004","510","659","223","467","135","2210","0","0","0","0","0","0","17","17","34","11","6","6","11","13","11","6825","125793","Quicken Loans Arena"
"1997","ABL","CLS","CLS","EA","","1","Y","1","","W","W","Columbus Quest","1186","2631","769","994","303","761","601","933","1534","710","853","489","701","60","3444","1020","2236","701","939","195","557","439","972","1411","603","843","343","911","122","2936","99","107","206","65","116","181","31","9","40","19","1","12","8","18","6","8075","53637","Batelle Hall/St. John Arena"
"1998","ABL","CLS","CLS","EA","","1","Y","1","","W","W","Columbus Quest","1170","2734","909","1155","272","778","556","883","1439","759","942","482","659","70","3521","989","2293","810","1044","182","549","399","959","1358","619","946","326","976","113","2970","0","0","0","0","0","0","36","8","44","21","1","15","7","19","5","8875","76993","Batelle Hall/St. John Arena"
"1999","ABL","CLS","CLS","EA","","1","","0","","","","Columbus Quest","340","848","220","290","73","228","160","294","454","199","308","126","215","24","973","305","747","219","292","42","153","143","325","468","200","283","121","292","41","871","0","0","0","0","0","0","11","3","14","7","0","4","3","7","2","2800","17119","Batelle Hall/St. John Arena"
"1997","ABL","COL","COL","WE","","1","Y","2","","L","","Colorado Expolsion","1108","2580","620","802","250","714","600","995","1595","749","858","432","827","100","3086","1041","2429","709","968","173","503","554","996","1550","671","770","475","834","102","2964","83","104","187","83","119","202","25","15","40","16","4","9","11","18","6","8075","82069","Denver Coliseum/McNichols Sports Arena"
"1998","ABL","COL","COL","WE","","4","Y","6","L","","","Colorado Expolsion","1218","2771","542","790","250","631","503","873","1376","766","900","421","782","117","3228","1158","2585","773","1051","179","528","505","1005","1510","699","795","388","856","101","3268","0","0","0","0","0","0","21","23","44","14","8","7","15","13","15","8800","84079","Denver Coliseum/McNichols Sports Arena"
"1999","ABL","COL","COL","WE","","4","","0","","","","Colorado Expolsion","347","813","163","228","53","145","162","266","428","213","294","158","278","34","910","322","758","230","296","57","188","156","273","429","199","241","122","303","20","931","0","0","0","0","0","0","5","8","13","4","4","1","4","3","3","2600","19871","Denver Coliseum/McNichols Sports Arena"
"2003","WNBA","CON","CON","EA","","3","Y","0","W","L","","Connecticut Sun","864","2102","479","646","177","549","333","762","1095","520","663","270","434","111","2384","864","2104","509","673","172","536","366","812","1178","553","669","252","476","88","2409","0","0","0","0","0","0","18","16","34","10","7","8","9","11","13","6875","102433","Mohegan Sun Arena"
"2004","WNBA","CON","CON","EA","","1","Y","0","W","W","L","Connecticut Sun","876","2051","434","590","149","467","321","724","1045","572","610","299","462","96","2335","858","1996","443","599","145","384","306","757","1063","565","627","239","492","113","2304","0","0","0","0","0","0","18","16","34","10","7","8","9","14","6","6900","114017","Mohegan Sun Arena"
"2005","WNBA","CON","CON","EA","","1","Y","0","W","W","W","Connecticut Sun","916","2025","512","688","130","373","322","788","1110","573","624","236","452","130","2474","835","2100","452","599","122","400","350","728","1078","495","675","258","442","79","2244","0","0","0","0","0","0","26","8","34","14","3","12","5","13","7","6800","121944","Mohegan Sun Arena"
"2006","WNBA","CON","CON","EA","","1","Y","0","W","L","","Connecticut Sun","982","2216","545","675","174","510","342","926","1268","630","530","252","514","153","2683","948","2357","358","500","163","508","370","783","1153","528","646","273","486","103","2417","0","0","0","0","0","0","26","8","34","14","3","12","5","15","5","6825","126096","Mohegan Sun Arena"
"2007","WNBA","CON","CON","EA","","3","Y","0","L","","","Connecticut Sun","1001","2327","478","615","195","572","354","868","1222","619","641","272","540","156","2675","976","2317","475","626","166","485","337","842","1179","581","633","246","524","85","2593","0","0","0","0","0","0","18","16","34","8","9","10","7","10","10","6925","135490","Mohegan Sun Arena"
"2008","WNBA","CON","CON","EA","","2","Y","0","L","","","Connecticut Sun","965","2286","539","723","221","669","370","869","1239","607","629","211","487","97","2690","955","2284","472","638","159","496","360","840","1200","554","703","252","499","104","2541","0","0","0","0","0","0","21","13","34","13","4","8","9","13","7","6850","129951","Mohegan Sun Arena"
"2009","WNBA","CON","CON","EA","","6","N","0","","","","Connecticut Sun","966","2381","517","692","202","639","358","826","1184","608","677","250","453","130","2651","953","2236","591","746","157","488","329","945","1274","525","684","248","549","125","2654","0","0","0","0","0","0","16","18","34","12","5","4","13","10","12","6975","115496","Mohegan Sun Arena"
"2010","WNBA","CON","CON","EA","","5","N","0","","","","Connecticut Sun","1008","2358","525","655","213","640","357","883","1240","604","606","241","499","130","2754","1017","2350","488","633","193","587","344","866","1210","625","667","279","497","105","2715","0","0","0","0","0","0","17","17","34","12","5","5","12","9","13","6900","127331","Mohegan Sun Arena"
"2011","WNBA","CON","CON","EA","","2","Y","0","L","","","Connecticut Sun ","1010","2384","502","658","202","557","340","869","1209","583","533","248","446","116","2724","1003","2340","409","549","197","568","345","895","1240","617","652","262","526","109","2612","0","0","0","0","0","0","21","13","34","15","2","6","11","14","8","6925","119951","Mohegan Sun Arena"
"2012","WNBA","CON","CON","EA","","1","Y","0","W","L","","Connecticut Sun ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","9","34","12","5","13","4","18","4","0","123519","Mohegan Sun Arena"
"1998","WNBA","DET","DET","EA","","4","N","0","","","","Detroit Shock","771","1875","448","638","97","300","345","732","1077","432","602","197","490","81","2087","768","1869","429","602","113","375","282","667","949","445","635","249","447","114","2078","0","0","0","0","0","0","17","13","30","11","4","6","9","8","8","6000","153434","The Palace of Auburn Hills"
"1999","WNBA","DET","DET","EA","","2","Y","0","L","","","Detroit Shock","791","1972","536","764","121","336","321","675","996","464","728","238","483","96","2239","830","1901","529","736","114","338","293","769","1062","514","723","262","532","133","2303","0","0","0","0","0","0","15","17","32","7","9","8","8","12","8","6500","135753","The Palace of Auburn Hills"
"2000","WNBA","DET","DET","EA","","5","N","0","","","","Detroit Shock","868","1980","519","699","76","273","341","644","985","503","701","260","530","88","2331","905","1967","480","652","136","372","331","640","971","513","672","284","543","148","2426","0","0","0","0","0","0","14","18","32","8","8","6","10","10","11","6425","107289","The Palace of Auburn Hills"
"2001","WNBA","DET","DET","EA","","7","N","0","","","","Detroit Shock","774","1914","412","542","143","405","324","621","945","469","602","225","498","82","2103","848","1837","446","583","127","340","279","702","981","438","591","262","483","109","2269","0","0","0","0","0","0","10","22","32","6","10","4","12","7","14","6550","109348","The Palace of Auburn Hills"
"2002","WNBA","DET","DET","EA","","8","N","0","","","","Detroit Shock","766","1919","472","651","110","364","360","719","1079","478","609","201","541","132","2114","828","1984","464","605","146","447","314","669","983","465","637","277","443","139","2266","0","0","0","0","0","0","9","23","32","7","9","2","14","6","15","6450","94171","The Palace of Auburn Hills"
"2003","WNBA","DET","DET","EA","","1","Y","0","W","W","W","Detroit Shock","902","2004","624","882","125","323","379","851","1230","545","605","263","608","158","2553","911","2286","412","556","161","541","390","674","1064","504","774","309","497","129","2395","0","0","0","0","0","0","25","9","34","13","4","12","5","18","6","6900","133647","The Palace of Auburn Hills"
"2004","WNBA","DET","DET","EA","","3","Y","0","L","","","Detroit Shock","874","2097","556","792","62","209","397","773","1170","564","648","277","513","148","2366","860","2098","470","609","191","533","325","730","1055","515","728","289","496","131","2381","0","0","0","0","0","0","17","17","34","8","9","9","8","11","9","6850","160860","The Palace of Auburn Hills"
"2005","WNBA","DET","DET","EA","","4","Y","0","L","","","Detroit Shock","831","2060","509","774","76","238","412","803","1215","474","761","241","571","155","2247","784","1945","565","754","154","456","273","745","1018","473","744","272","520","136","2287","0","0","0","0","0","0","16","18","34","12","5","4","13","11","9","6925","159356","The Palace of Auburn Hills"
"2006","WNBA","DET","DET","EA","","2","Y","0","W","W","W","Detroit Shock","919","2220","553","746","136","414","406","880","1286","572","711","213","537","137","2527","840","2165","529","702","175","561","324","760","1084","474","733","275","506","108","2384","0","0","0","0","0","0","23","11","34","14","3","9","8","14","6","6825","159453","The Palace of Auburn Hills"
"2007","WNBA","DET","DET","EA","","1","Y","0","W","W","L","Detroit Shock","972","2261","595","785","158","442","380","931","1311","563","702","227","564","117","2697","895","2262","547","718","203","610","309","780","1089","546","767","276","529","117","2540","0","0","0","0","0","0","24","10","34","12","5","12","5","14","6","6850","165738","The Palace of Auburn Hills"
"2008","WNBA","DET","DET","EA","","1","Y","0","W","W","W","Detroit Shock","974","2295","556","744","168","476","405","843","1248","604","724","278","496","118","2672","872","2151","563","740","215","616","324","761","1085","520","762","229","572","119","2522","0","0","0","0","0","0","22","12","34","14","3","8","9","16","4","6875","162669","The Palace of Auburn Hills"
"2009","WNBA","DET","DET","EA","","3","Y","0","W","L","","Detroit Shock","980","2277","539","721","153","436","373","853","1226","575","766","261","546","97","2652","902","2201","632","813","208","611","320","781","1101","524","716","279","531","110","2644","0","0","0","0","0","0","18","16","34","11","6","7","10","11","11","6975","136069","The Palace of Auburn Hills"
"1997","WNBA","HOU","HOU","EA","","1","Y","1","","W","W","Houston Comets","700","1660","441","592","169","485","316","543","859","389","535","311","492","67","2010","679","1630","384","545","91","305","296","557","853","405","558","237","537","102","1833","0","0","0","0","0","0","18","10","28","9","5","9","5","6","6","5650","135916","Compaq Center"
"1998","WNBA","HOU","HOU","WE","","1","Y","1","","W","W","Houston Comets","795","1824","518","646","177","523","297","630","927","428","510","332","435","81","2285","729","1803","340","470","110","369","324","630","954","450","637","206","560","102","1908","0","0","0","0","0","0","27","3","30","14","1","13","2","15","1","6075","189029","Compaq Center"
"1999","WNBA","HOU","HOU","WE","","1","Y","0","","W","W","Houston Comets","841","1912","509","622","176","547","303","682","985","499","586","272","452","139","2367","763","1954","419","566","125","442","350","621","971","459","633","216","491","78","2070","0","0","0","0","0","0","26","6","32","15","1","11","5","16","4","6425","190503","Compaq Center"
"2000","WNBA","HOU","HOU","WE","","2","Y","0","W","W","W","Houston Comets","891","1894","521","634","172","491","273","724","997","494","554","284","440","104","2475","786","1938","370","508","124","418","290","612","902","473","648","233","480","85","2066","0","0","0","0","0","0","27","5","32","14","2","13","3","17","4","6475","196077","Compaq Center"
