"playerID","playerName","year","stint","tmID","lgID","GP","GS","minutes","points","oRebounds","dRebounds","rebounds","assists","steals","blocks","turnovers","PF","fgAttempted","fgMade","ftAttempted","ftMade","threeAttempted","threeMade","dq","PostGP","PostGS","PostMinutes","PostPoints","PostoRebounds","PostdRebounds","PostRebounds","PostAssists","PostSteals","PostBlocks","PostTurnovers","PostPF","PostfgAttempted","PostfgMade","PostftAttempted","PostftMade","PostthreeAttempted","PostthreeMade","PostDQ"
"kukloan01w","Andrea Kuklova","1999","0","PHO","WNBA","5","0","13","0","0","0","0","0","0","0","1","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"laceyal01w","Alison Lacey","2010","0","SEA","WNBA","21","0","144","16","3","13","16","10","6","1","8","19","35","4","5","5","27","3","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lacyje01w","Jennifer Lacy","2006","0","PHO","WNBA","33","3","504","162","42","60","102","14","12","12","45","102","128","61","58","40","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lacyje01w","Jennifer Lacy","2007","0","PHO","WNBA","20","0","94","35","10","9","19","2","3","0","10","26","29","12","18","10","3","1","0","1","0","3","2","0","0","0","0","0","0","0","2","2","1","2","0","0","0","0"
"lacyje01w","Jennifer Lacy","2008","0","ATL","WNBA","33","22","605","189","35","54","89","27","18","6","37","97","190","74","55","37","21","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lacyje01w","Jennifer Lacy","2009","0","ATL","WNBA","32","0","362","96","32","38","70","9","9","7","24","57","107","35","33","22","19","4","0","2","0","23","2","1","1","2","0","0","0","0","3","5","0","4","2","2","0","0"
"lacyje01w","Jennifer Lacy","2010","0","TUL","WNBA","24","3","402","167","26","46","72","19","19","7","34","56","141","54","56","42","44","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lacyje01w","Jennifer Lacy","2011","0","TUL","WNBA","34","18","653","213","29","61","90","34","20","17","51","86","204","82","30","21","80","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lacyje01w","Jennifer Lacy","2012","0","TUL","WNBA","26","6","573","222","25","43","68","22","16","9","36","76","198","77","37","24","109","44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lacyna01w","Natasha Lacy","2010","0","TUL","WNBA","16","3","293","101","5","32","37","56","23","3","38","30","80","38","37","22","12","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lacyna01w","Natasha Lacy","2011","0","LAS","WNBA","29","0","394","145","19","45","64","48","28","9","35","40","133","57","50","27","12","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lacyna01w","Natasha Lacy","2012","0","WAS","WNBA","20","1","259","77","10","32","42","25","13","5","23","27","81","29","18","14","21","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lacyve01w","Venus Lacy","1997","0","SER","ABL","13","7","242","96","18","40","58","3","9","3","29","29","87","33","53","30","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lacyve01w","Venus Lacy","1998","0","LON","ABL","41","38","904","420","112","154","266","15","26","27","65","129","341","169","113","82","4","0","3","10","10","281","114","23","52","75","3","7","9","17","36","101","40","37","34","1","0","2"
"lacyve01w","Venus Lacy","1999","0","NAS","ABL","15","5","232","113","28","32","60","6","9","4","29","39","81","40","51","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lacyve01w","Venus Lacy","1999","0","NYL","WNBA","17","0","111","32","7","13","20","1","3","4","14","24","24","10","15","12","0","0","0","1","0","2","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0"
"lacyve01w","Venus Lacy","2000","0","NYL","WNBA","2","2","18","6","1","4","5","0","0","0","2","0","5","2","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lambesh01w","Sheila Lambert","2002","0","CHA","WNBA","3","0","16","2","2","1","3","3","1","0","2","1","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lambesh01w","Sheila Lambert","2003","0","DET","WNBA","27","1","187","87","10","18","28","14","5","0","29","15","66","24","41","32","16","7","0","7","0","14","5","0","2","2","1","0","0","4","3","6","2","0","0","3","1","0"
"lambesh01w","Sheila Lambert","2004","0","HOU","WNBA","34","25","788","197","19","49","68","88","26","4","82","46","177","75","51","40","27","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lambesh01w","Sheila Lambert","2005","0","DET","WNBA","12","5","152","33","2","15","17","21","8","1","24","11","45","14","5","4","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lambmo01w","Monica Lamb","1998","0","HOU","WNBA","30","25","649","161","62","80","142","9","24","21","27","87","122","66","42","29","0","0","3","5","5","107","29","5","13","18","0","2","4","8","16","25","14","2","1","0","0","0"
"lambmo01w","Monica Lamb","1999","0","HOU","WNBA","3","0","36","13","3","3","6","0","0","2","1","6","10","4","6","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lambmo01w","Monica Lamb","2000","0","HOU","WNBA","13","2","140","26","5","21","26","3","2","4","4","23","20","10","12","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"langeme01w","MerleLynn Lange-Harris","1999","0","PHO","WNBA","1","0","3","0","0","2","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"langhcr01w","Crystal Langhorne","2008","0","WAS","WNBA","34","6","529","164","53","83","136","15","15","6","36","54","109","68","51","28","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"langhcr01w","Crystal Langhorne","2009","0","WAS","WNBA","34","22","1013","408","101","167","268","29","34","13","76","74","284","163","119","82","2","0","0","2","2","79","33","5","15","20","1","1","1","6","6","20","14","8","5","0","0","0"
"langhcr01w","Crystal Langhorne","2010","0","WAS","WNBA","34","34","1158","555","98","232","330","39","30","7","90","74","375","221","145","112","6","1","0","2","2","70","27","8","8","16","3","0","4","5","9","24","11","5","5","0","0","0"
"langhcr01w","Crystal Langhorne","2011","0","WAS","WNBA","31","31","1063","563","96","139","235","51","39","15","102","72","425","227","152","108","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"langhcr01w","Crystal Langhorne","2012","0","WAS","WNBA","31","31","999","456","75","119","194","42","46","4","75","65","338","190","117","75","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"langja01w","Jamillah Lang","1997","0","SJL","ABL","29","0","254","128","17","29","46","8","8","1","17","30","118","43","41","26","50","16","0","2","0","41","23","0","0","5","4","0","1","9","6","13","7","6","5","8","4","0"
"larakr01w","Krystyna Lara","1999","0","UTA","WNBA","25","0","204","62","1","12","13","23","10","2","36","29","68","23","6","6","33","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"larkier01w","Erlana Larkins","2008","0","NYL","WNBA","27","0","335","129","38","35","73","18","10","7","35","54","94","48","56","33","0","0","0","6","0","87","26","12","17","29","1","3","1","8","12","24","11","10","4","0","0","0"
"larkier01w","Erlana Larkins","2009","0","NYL","WNBA","18","0","137","44","11","20","31","8","9","4","16","19","33","14","23","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
